;Název podniku;GPS Souøadnice
1;Áèko;50.05000269303701, 15.768336176013673
2;Dýdy Baba;50.049125834609114, 15.77038451285136
3;Restaurace na Palubì;50.05018546217326, 15.757313549882152
4;Restaurant Fregata;50.046717426661246, 15.754617175997272
5;Pardubický Pivovar;50.03576605695895, 15.762019243426192
6;Pivní Ambasáda;50.03467723012164, 15.771524992175227
7;Restaurace Derby;50.02421671114737, 15.756960344438685
8;Restaurace pod Košem;50.02495206165636, 15.764044082525857
9;U Kapitána;50.02346243664456, 15.770900680760617
10;Restaurace Na Rozkoši U Kulatý Báby;50.01759701022399, 15.771852881056518
11;Hospoda U Bukanýra;50.01797412601187, 15.77541896794229
12;Bar Barbar;50.02343863754608, 15.771401177529196
13;Pivní Ráj Na Radhošti;50.026051159587894, 15.770670849174373
14;U Vojáèkù;50.02714786356811, 15.79104864236843
15;Vinotéka In Vino Veritas;50.03033939788676, 15.793528057715656
16;Restaurant Dašický Dvùr;50.03353706898886, 15.797945221413233
17;U Vojtìchù;50.03577981494942, 15.807045697220078
18;Garáž;50.040723844747006, 15.803131956784018
19;Bowling bar Dubina Pardubice;50.041494584398244, 15.806638745420514
20;Hospoda U Maxe;50.042752237910584, 15.8080152597872
21;Hotel a Restaurant Signal;50.04739072422009, 15.811329792124459
22;Hospùdka U Paøezu;50.04342695971905, 15.821612672502829
23;Na Haldì;50.04425556151654, 15.794663306562335
24;Na Staré Rybárnì;50.03499634344097, 15.785070169595775
25;U Vatikána;50.03719943948137, 15.786845098709852
26;Che's café-bar;50.0383680211611, 15.779020157587391
27;Coco Bar & Shisha;50.039032984307156, 15.779653158914929
28;Patapuf;50.03865226819249, 15.778287914526311
29;Maybe bar;50.03784332719955, 15.776875775603179
30;MARTINI'S Pardubice;50.037208771344226, 15.77560002082079
31;Road Cafe bar;50.03424882768571, 15.776802595957397
32;St. Patrick Original Irish Pub;50.03379426081544, 15.779864563397256
33;Restaurace Zelená Žába;50.033802456246995, 15.773529815136897
34;Restarurace Plzenka Pardubice;50.03484736297126, 15.774282584819401
35;Pivnice na Macandì;50.03379190948971, 15.763214225767268